n,fold_seed,primary_intercept,nominal_intercept,effective_intercept,clamp_flag,secondary_log,secondary_avoid_log,secondary_avoid_log_failed,shot_clamp_flag,shot_secondary_log,shot_secondary_avoid_log,shot_secondary_avoid_log_failed
20,1001,-0.3958982480549869,-0.3958982480549869,-0.4145527181506061,0,-0.6562269849280256,-0.6596106454736125,0,0,-0.7323294804562015,-0.7530122900852737,0
20,1002,-0.39601072735389214,-0.39601072735389214,-0.4146125067924221,0,-0.6523931792171715,-0.6530572396359383,0,0,-0.645501923140582,-0.6460534452491096,0
20,1003,-0.3963086757056339,-0.3963086757056339,-0.4149944627916853,0,-0.6577553112587908,-0.6601823659025309,0,0,-0.6968875040982951,-0.7027089757868658,0
20,1004,-0.398407376652035,-0.398407376652035,-0.4172711862703806,0,-0.6668893567323049,-0.6650896441188853,0,0,-0.6406819422998287,-0.6370180575077691,0
20,1005,-0.39583254201231244,-0.39583254201231244,-0.4144112368419384,0,-0.6510891700927013,-0.6517868500623741,0,0,-0.6164719056320699,-0.6165803550880042,0
20,1006,-0.3946879207654271,-0.3946879207654271,-0.41325130703000773,0,-0.651817392801746,-0.6580623254423998,0,0,-0.6369692240484659,-0.6571593644742709,0
20,1007,-0.39842721051054475,-0.39842721051054475,-0.4172346136771425,0,-0.6627970370383764,-0.6587255170242599,0,0,-0.5833944342885097,-0.5715257025439485,0
21,1000,-0.35437729234508797,-0.35476624292590947,-0.37145560516208376,0,-0.6172053180670973,-0.6145236869663352,0,0,-0.6105125078028533,-0.6156359391381406,0
21,1001,-0.35303482072982667,-0.3534315615121727,-0.3699909783669847,0,-0.6102859756159913,-0.6102932999461654,0,0,-0.63562271225222,-0.639623597820364,0
21,1002,-0.35282215914192605,-0.3532117309932639,-0.3697249819374524,0,-0.6064818248671501,-0.605454475610119,0,0,-0.6255989008394388,-0.6197061356112228,0
21,1003,-0.35471532517760335,-0.35512764612906955,-0.3719268464883713,0,-0.627660040486847,-0.628848280795864,0,0,-0.5754870233189107,-0.5796891621870627,0
21,1004,-0.3574019869802334,-0.3578040301925405,-0.37487946092741753,0,-0.6442495046693942,-0.6405365463028262,0,0,-0.5882586854868442,-0.5940437129193787,0
21,1005,-0.35331465159346614,-0.3536697662601865,-0.3701344905216818,0,-0.5989519097822398,-0.5919661234076984,0,0,-0.5508527059040095,-0.5502486442747858,0
21,1006,-0.3535451188674654,-0.3539428629082587,-0.3705637433906283,0,-0.6142164466056976,-0.6139062432709163,0,0,-0.5977569761819241,-0.5901770371808768,0
