n,ed_reference,e0_trotter,e_noisy_dm,zne_primary_mean,zne_primary_std,zne_nominal_mean,zne_nominal_std,zne_effective_mean,zne_effective_std,secondary_estimate,secondary_mode,secondary_std,eps_u,eps_m,eps_m_band,if_value,if_is_lower_bound,reportable,shot_baseline_mean,shot_baseline_std,shot_primary_mean,shot_primary_std,shot_primary_sem,shot_nominal_mean,shot_nominal_std,shot_effective_mean,shot_effective_std,shot_secondary_estimate,shot_secondary_mode,shot_secondary_std,shot_eps_u,shot_eps_m,shot_eps_m_band,shot_if_value,shot_if_is_lower_bound,shot_reportable
1,-0.9381460919780834,-0.8869949227792848,-0.8556676195292723,-0.8837081859701029,3.132004459531723e-05,-0.8827562315863607,3.8024502208230284e-05,-0.8878985910792434,3.514388790763282e-05,-0.8837480790572156,log,3.963204764765513e-05,0.03132730325001254,0.0032867368091819005,3.132004459531723e-05,9.531430433521752,0,1,-0.8560536702473958,0.0023185645838881878,-0.8847919932582922,0.003992231694478593,0.0014114670516168371,-0.883939107259114,0.004126846677789733,-0.8890632711063416,0.004288042538987189,-0.8849823078836039,log,0.004283456422535406,0.030941252531889063,0.002202929520992658,0.0029057659300024004,14.045502698582332,0,1
2,-0.7788953225574846,-0.7300958399892427,-0.6814605753978189,-0.7241425548494895,0.0004142968890794285,-0.7241425548494895,0.0004142968890794285,-0.7298933807706265,0.000465845885426032,-0.7271255500512619,log,0.00046939610327962424,0.048635264591423755,0.005953285139753128,0.0004142968890794285,8.169483478401064,0,1,-0.6803995768229167,0.0034688676039284503,-0.7259996202256942,0.0096621227409974,0.003416076255408006,-0.7259996202256942,0.0096621227409974,-0.7320873019252515,0.010449664743881535,-0.7294172089307637,log,0.010581433121456816,0.049696263166325916,0.004096219763548459,0.004607178631417699,12.132225816730891,0,1
3,-0.5468303472148774,-0.5630256600472122,-0.5103644696177865,-0.5555582040108294,0.0018809861398819364,-0.5561122292279563,0.0018708425906637889,-0.5614406890289247,0.002103976648143691,-0.5607430993337612,log,0.002232653058782221,0.05266119042942574,0.007467456036382769,0.0018809861398819364,7.05209246266079,0,1,-0.5106404622395834,0.002631093640142606,-0.5554857423319617,0.007141960074355975,0.0025250641997703444,-0.5560370551215276,0.007213271152028426,-0.5613238879838417,0.00780280607718392,-0.5606467629472592,log,0.008310545066763578,0.05238519780762885,0.0075399177152505326,0.004728224099137111,6.947714787612668,0,1
4,-0.2631722059139743,-0.2777112321874975,-0.2527905649745132,-0.2764758798626063,0.0014825367744244744,-0.2764758798626063,0.0014825367744244744,-0.27948677929500926,0.0016263554078611655,-0.27903708327273213,log,0.0017382376538527969,0.024920667212984304,0.0012353523248911924,0.0012668886718726824,20.172922906976577,0,1,-0.25250244140625,0.003896124902455737,-0.2755788167317707,0.004786369843446855,0.0016922372867840326,-0.2755788167317707,0.004786369843446855,-0.27851617593693045,0.005168838030232019,-0.2780920188806787,log,0.005454962663866151,0.025208790781247492,0.0021324154557267883,0.0025208324017284935,11.821707028781413,0,1
5,0.028312645821723565,-0.007904020583564791,-0.027466680514173933,-0.018194485996859168,0.001541533772176275,-0.01810485384229375,0.0016304184966166651,-0.017002871195286845,0.0018156633611377242,-0.02072904816062928,log,0.0006882479237804479,0.01956265993060914,0.010290465413294377,0.001541533772176275,1.9010471484930025,0,1,-0.028778076171875,0.0039150653249744845,-0.019103396591262454,0.005744916697979506,0.0020311347772465687,-0.019070095486111077,0.0057650024245235335,-0.017921946163610075,0.006065159829537972,-0.021806316077704127,log,0.004535559589604418,0.02087405558831021,0.011199376007697662,0.005744916697979506,1.863858805522991,0,1
6,0.31202777362563344,0.24816952342788554,0.1689955534009268,0.2168723561958224,0.002398974882531726,0.2168723561958224,0.002398974882531726,0.22290306752612438,0.0027081837038889288,0.23712199512762056,log,0.004957415027480656,0.07917397002695872,0.03129716723206313,0.002398974882531726,2.529748760962847,0,1,0.16556803385416666,0.0034272981334250406,0.21310424804687494,0.01079158730148561,0.003815402280323555,0.21310424804687494,0.01079158730148561,0.21895238402094835,0.011663986923703037,0.23278328488139338,log,0.016642507951553843,0.08260148957371888,0.03506527538101059,0.01079158730148561,2.3556492477584037,0,1
7,0.567607667607896,0.49411378619407575,0.3402154591181294,0.43395131135382836,0.0032926985412147385,0.4344982307862519,0.003301022375594347,0.4456900194212393,0.0036899188075979104,0.4725175215073202,log,0.0063963571108724354,0.15389832707594636,0.06016247484024739,0.0032926985412147385,2.5580451516431255,0,1,0.3429768880208333,0.0055332984965897145,0.4377831260838886,0.012471709427123613,0.004409415154453649,0.4383934868706596,0.012614123838929741,0.4497362092420075,0.01354016001693162,0.47813980024894387,log,0.020764067322917502,0.15113689817324244,0.05633066011018717,0.012471709427123613,2.6830308375156062,0,1
8,0.7622284188913591,0.6612984927202691,0.43879309586941695,0.5703427654966138,0.00292787546296974,0.5703427654966138,0.00292787546296974,0.5868230115663131,0.0032607520922934745,0.6311199561772943,log,0.00586293052499402,0.22250539685085213,0.0909557272236553,0.00292787546296974,2.4463044125162474,0,1,0.4400482177734375,0.004550588309909958,0.5734566582573783,0.014945067032112947,0.0052838791218472875,0.5734566582573783,0.014945067032112947,0.590184624625218,0.016207294831008762,0.6366715543733825,log,0.025106419081738513,0.22125027494683158,0.08784183446289073,0.014945067032112947,2.518734681483684,0,1
9,0.880871370392875,0.7764435875775326,0.4941451785419871,0.6543405393992435,0.002807902494586456,0.6551629369074031,0.0028265441267588225,0.6744169392618768,0.0031674079722806567,0.7389784091236171,log,0.006573327023673899,0.28229840903554554,0.1221030481782891,0.002807902494586456,2.311968564645059,0,1,0.49492899576822913,0.004393343622029986,0.6537463565078874,0.014431047104034065,0.0051021456334424875,0.6546393500434027,0.014435413035445814,0.6737884221898288,0.015752023779698095,0.7387394232553781,log,0.02742263136616048,0.2815145918093035,0.12269723106964525,0.014431047104034065,2.294384228194282,0,1
10,0.9015796146297308,0.8052947341160175,0.48980462676481246,0.6630503519027129,0.00392530429620112,0.6630503519027129,0.00392530429620112,0.6846763964037159,0.004391000415928635,0.7660603336331197,log,0.009564729415802277,0.31549010735120503,0.1422443822133046,0.003925304296201121,2.2179442340162674,0,1,0.49141947428385413,0.003716058313088477,0.6643269856770833,0.009333406528541232,0.0032998575239511496,0.6643269856770833,0.009333406528541232,0.6860747603181236,0.010128746063916495,0.768824163286504,log,0.018041603980466458,0.31387525983216336,0.14096774843893423,0.009333406528541232,2.2265749670260986,0,1
11,0.8216731828900761,0.7383357424552565,0.42763037974023127,0.5928383909923098,0.002045937439531061,0.5935322317935621,0.0020546354450021883,0.6134395068650044,0.0023035589896167074,0.7068071034687649,log,0.006351937995961916,0.3107053627150252,0.14549735146294662,0.002045937439531061,2.1354709181366207,0,1,0.42699686686197913,0.005349226194006956,0.5927817337800525,0.0160572391449501,0.0056770913432641484,0.5934651692708334,0.016005205749492955,0.6134270934343167,0.017241684424495165,0.7079521278689902,log,0.030494180618936103,0.31133887559327733,0.14555400867520396,0.0160572391449501,2.138992106277289,0,1
12,0.6547071734996877,0.5955648387605537,0.33317277888386615,0.47054321734661414,0.0020934815831356356,0.47054321734661414,0.0020934815831356356,0.4875888355949926,0.002341711401358461,0.574389607416886,log,0.006277664094608057,0.2623920598766875,0.12502162141393952,0.0020934815831356356,2.098773451417033,0,1,0.3323516845703125,0.005827496614755152,0.47148217095269096,0.011898511873138186,0.00420675921576233,0.47148217095269096,0.011898511873138186,0.48873709614419436,0.012767869637554257,0.5795071782017379,log,0.02424182010890099,0.26321315419024116,0.1240826678078627,0.011898511873138186,2.121272526134083,0,1
13,0.42641850317330465,0.39805334063220915,0.2150630726522539,0.3079382773115307,0.003097509631355682,0.30828422394467325,0.0031052990589593038,0.31951974283307527,0.0034753787287503985,0.386212022180517,log,0.010305163697590205,0.18299026797995524,0.09011506332067848,0.003097509631355682,2.0306290783903265,0,1,0.21439107259114581,0.004673036205106428,0.30132861632434094,0.009003555656966937,0.003183237629915911,0.30171542697482634,0.009031282571065165,0.31232935450815613,0.009697945707890128,0.3709464993912693,log,0.020026307477285416,0.18366226804106334,0.09672472430786822,0.009003555656966939,1.898814076290141,0,1
14,0.166997059240931,0.1696206095782108,0.09238677887594987,0.13472522648031202,0.0022223605494706574,0.13472522648031202,0.0022223605494706574,0.13998935888991088,0.0024581284386275136,0.17416690480311847,log,0.007502661595512916,0.07723383070226092,0.034895383097898774,0.0022223605494706574,2.2132965408513186,0,1,0.0915374755859375,0.004115362013197444,0.128570556640625,0.008748599951042222,0.003093097175635126,0.128570556640625,0.008748599951042222,0.13329055572037513,0.009407012189009285,0.15943696920873318,log,0.018518479031116974,0.07808313399227329,0.04105005293758579,0.008748599951042222,1.9021445383028894,0,1
15,-0.10460881315104831,-0.08262989041588438,-0.025376945439366437,-0.03884388851207657,0.0017005726346995423,-0.03891583439041399,0.0016897546963327984,-0.04060183663510057,0.0018657048978026726,-0.060573998940690155,log,0.008780224666831779,0.05725294497651794,0.04378600190380781,0.0017005726346995423,1.3075627480740366,0,1,-0.027247111002604168,0.003958216398945122,-0.04311899367672507,0.00898424141857692,0.0031764090154463936,-0.04319424099392361,0.009016462331596675,-0.045163070692463336,0.009755209821358145,-0.09259134689513926,log,0.08457032421822169,0.05538277941328021,0.03951089673915931,0.00898424141857692,1.401708996353663,0,1
16,-0.3596048963227515,-0.3000279264536767,-0.12243071633217398,-0.18386394068262435,0.0016047042491641528,-0.18386394068262435,0.0016047042491641528,-0.19159279838503546,0.0017878987775072493,-0.25544101581033907,log,0.006742454319773489,0.17759721012150273,0.11616398577105236,0.0016047042491641528,1.5288491432407385,0,1,-0.12353515625,0.005825002456436869,-0.18550364176432288,0.017071281664415894,0.006035609514227025,-0.18550364176432288,0.017071281664415894,-0.19332652047100513,0.018411865830759416,-0.2623786227382364,log,0.04576039700780859,0.1764927702036767,0.11452428468935383,0.017071281664415894,1.5410947178793728,0,1
17,-0.5812179103810483,-0.5000043560503269,-0.19722101502788936,-0.30227476797122366,0.0008367509110143561,-0.3026278346478217,0.0008443669696775786,-0.3154927870045624,0.0009585080188211293,-0.44171406391770024,log,0.0054649692733262836,0.30278334102243754,0.19772958807910324,0.000836750911014356,1.5313001152933507,0,1,-0.20029195149739581,0.0054364405856045005,-0.3056778054531556,0.011988011757630616,0.004238402203382335,-0.3060667249891493,0.011983142160590888,-0.3190518910081398,0.012894295070724995,-0.44829473869224357,log,0.03498420699987248,0.2997124045529311,0.1943265505971713,0.011988011757630616,1.5423132023488602,0,1
18,-0.7488828881136345,-0.6761960802615747,-0.2494264522251073,-0.38844422831547026,0.0012517970858201605,-0.38844422831547026,0.0012517970858201605,-0.4059235714931576,0.0013866115245332639,-0.5921224721638372,log,0.007129554300683201,0.42676962803646745,0.2877518519461045,0.0012517970858201605,1.4831168770945071,0,1,-0.2512003580729167,0.006257966429150684,-0.39542982313368064,0.010704338376114265,0.0037845551269328963,-0.39542982313368064,0.010704338376114265,-0.41349327211105413,0.01124128864340456,-0.6180303936956139,log,0.024047909525291292,0.42499572218865805,0.2807662571278941,0.010704338376114265,1.513699425764916,0,1
19,-0.8309868670981677,-0.7379900962336665,-0.26162162075546486,-0.41187426231790836,0.001310679041552066,-0.41233317079860987,0.00131726691805216,-0.43077563628488214,0.001485389236461032,-0.6496680049451921,log,0.009219063765610389,0.47636847547820166,0.32611583391575816,0.001310679041552066,1.460733966082912,0,1,-0.2633717854817708,0.0038631383821181708,-0.4142370477128708,0.008597853734762984,0.0030398003397504947,-0.4146948920355904,0.008596619802231763,-0.43320472380483105,0.009211721856934202,-0.6514004430890621,log,0.02882426624316219,0.4746183107518957,0.3237530485207957,0.008597853734762984,1.465988700092223,0,1
20,-0.8224900358464237,-0.7362927654365802,-0.2484110555886368,-0.39663680016259306,0.0013423653212661414,-0.39663680016259306,0.0013423653212661414,-0.4153358121508355,0.0014565059827083065,-0.6581819410432963,log,0.006485393549320954,0.4878817098479434,0.3396559652739871,0.0013423653212661414,1.436399650612314,0,1,-0.24863179524739584,0.007157557940484214,-0.39435831705729174,0.01324713850173901,0.004683570732948527,-0.39435831705729174,0.01324713850173901,-0.4127710592469347,0.014209169819853434,-0.6439473221229185,log,0.04940649621365314,0.4876609701891843,0.34193444837928844,0.01324713850173901,1.426182627987952,0,1
21,-0.7240150571093797,-0.688737588321688,-0.21891426107009349,-0.35420437366827884,0.0014671825214603686,-0.354598962554211,0.0014744552729162134,-0.371285696982939,0.001665555685200683,-0.6181524579181664,log,0.014236997727331608,0.4698233272515945,0.33453321465340913,0.0014671825214603686,1.4044145892608952,0,1,-0.21729024251302081,0.004954961551333903,-0.3498326009901912,0.008053694263410195,0.0028474109136302724,-0.3502154880099827,0.008068134164038924,-0.366552086794849,0.008534943380060216,-0.5989965028226394,log,0.027381182958687515,0.47144734580866715,0.33890498733149677,0.008053694263410195,1.3910900206007453,0,1
22,-0.5437237140560158,-0.5370054803652793,-0.16512822734137128,-0.2703038511499423,0.001417457626414547,-0.2703038511499423,0.001417457626414547,-0.28357923665675727,0.0016258054833936813,-0.4934705497412435,log,0.015453875126606878,0.371877253023908,0.26670162921533697,0.001417457626414547,1.394356885325404,0,1,-0.16119893391927081,0.0035450758073448103,-0.26256561279296875,0.005052667910633833,0.001786387871346424,-0.26256561279296875,0.005052667910633833,-0.2753036469653234,0.005487324662445941,-0.46752896672951066,log,0.03830878164498075,0.37580654644600847,0.27443986757231054,0.005052667910633833,1.3693584309393,0,1
23,-0.3154408008501531,-0.3424972116521611,-0.10422154432412409,-0.17359422046755574,0.0013932843348236877,-0.17378211934602916,0.0013837822882956123,-0.18235772763499858,0.0015124862201348294,-0.3423726012325703,log,0.01259013150884915,0.23827566732803704,0.1689029911846054,0.0013932843348236877,1.4107249709249352,0,1,-0.10475667317708333,0.007360138184765293,-0.17602198602339425,0.013024041266816867,0.004604693949109819,-0.17620934380425352,0.01306993442273904,-0.184999522219814,0.013901851678991101,-0.36052429759648336,log,0.055597198144328,0.2377405384750778,0.16647522562876688,0.013024041266816867,1.4280835936827607,0,1
24,-0.061615327461897476,-0.1324366786562488,-0.04470889256396898,-0.07603625606354232,0.001526929013856644,-0.07603625606354232,0.001526929013856644,-0.08002084927970898,0.0016828085526175336,-0.1713132809239613,log,0.016534309452609034,0.08772778609227982,0.05640042259270649,0.001526929013856644,1.5554455456088105,0,1,-0.0416107177734375,0.003020865897455696,-0.07254876030815974,0.007090498872919131,0.002506869917518345,-0.07254876030815974,0.007090498872919131,-0.07642632762502977,0.007617288420496417,-0.18581683773436786,log,0.07023110094684548,0.09082596088281131,0.05988791834808907,0.007090498872919131,1.5165990635189515,0,1
