n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
3,1007,2.0,-0.4665934244791667,9372
4,1000,1.0,-0.25341796875,9400
4,1000,1.5,-0.23388671875,9401
4,1000,2.0,-0.23311360677083334,9402
4,1001,1.0,-0.2507731119791667,9410
4,1001,1.5,-0.23881022135416666,9411
4,1001,2.0,-0.22802734375,9412
4,1002,1.0,-0.24727376302083334,9420
4,1002,1.5,-0.253173828125,9421
4,1002,2.0,-0.22355143229166666,9422
4,1003,1.0,-0.2574055989583333,9430
4,1003,1.5,-0.2384033203125,9431
4,1003,2.0,-0.231689453125,9432
4,1004,1.0,-0.2496337890625,9440
4,1004,1.5,-0.23966471354166666,9441
4,1004,2.0,-0.2274169921875,9442
4,1005,1.0,-0.24922688802083334,9450
4,1005,1.5,-0.24727376302083334,9451
4,1005,2.0,-0.23128255208333334,9452
4,1006,1.0,-0.2578125,9460
4,1006,1.5,-0.22843424479166666,9461
4,1006,2.0,-0.22908528645833334,9462
4,1007,1.0,-0.2544759114583333,9470
4,1007,1.5,-0.2462158203125,9471
4,1007,2.0,-0.230712890625,9472
5,1000,1.0,-0.0303955078125,9500
5,1000,1.5,-0.022379557291666668,9501
5,1000,2.0,-0.0361328125,9502
5,1001,1.0,-0.03125,9510
5,1001,1.5,-0.036173502604166664,9511
5,1001,2.0,-0.042277018229166664,9512
5,1002,1.0,-0.031534830729166664,9520
5,1002,1.5,-0.037150065104166664,9521
5,1002,2.0,-0.044962565104166664,9522
5,1003,1.0,-0.023396809895833332,9530
5,1003,1.5,-0.027180989583333332,9531
5,1003,2.0,-0.0361328125,9532
5,1004,1.0,-0.034993489583333336,9540
5,1004,1.5,-0.0396728515625,9541
5,1004,2.0,-0.040730794270833336,9542
5,1005,1.0,-0.024658203125,9550
5,1005,1.5,-0.0341796875,9551
5,1005,2.0,-0.034464518229166664,9552
5,1006,1.0,-0.027180989583333332,9560
5,1006,1.5,-0.027628580729166668,9561
5,1006,2.0,-0.031982421875,9562
5,1007,1.0,-0.026814778645833332,9570
5,1007,1.5,-0.036051432291666664,9571
5,1007,2.0,-0.038736979166666664,9572
6,1000,1.0,0.17179361979166666,9600
6,1000,1.5,0.1524658203125,9601
6,1000,2.0,0.12093098958333333,9602
6,1001,1.0,0.16410319010416666,9610
6,1001,1.5,0.14363606770833334,9611
6,1001,2.0,0.12569173177083334,9612
6,1002,1.0,0.16361490885416666,9620
6,1002,1.5,0.13529459635416666,9621
6,1002,2.0,0.1180419921875,9622
6,1003,1.0,0.16788736979166666,9630
6,1003,1.5,0.14619954427083334,9631
6,1003,2.0,0.11442057291666667,9632
6,1004,1.0,0.16239420572916666,9640
